subject,sub,trial,actualpic,unfairness,RP,VP,AP,VR,AR,choice,choice_T,reward,M_S,RPE,VPE,APE,unfairness_norm,gender
101,1,1,pic\r19,52.5,15,5,10,5,10,0,0,47.5,32.5,32.5,0,0,-1.473658372,female
101,1,2,pic\r8,80,27.5,2.5,7.5,-7.5,-7.5,0,0,20,-7.5,-7.5,-10,-15,0.433428933,female
101,1,3,pic\r20,50,27.5,5,12.5,5,17.5,0,0,50,22.5,22.5,0,5,-1.647029945,female
101,1,4,pic\r1,97.5,30,10,17.5,-12.5,12.5,0,0,2.5,-27.5,-27.5,-22.5,-5,1.647029945,female
101,1,5,pic\r14,65,30,-2.5,5,0,-7.5,0,0,35,5,5,2.5,-12.5,-0.606800506,female
101,1,6,pic\r12,70,27.5,0,-10,-7.5,5,0,0,30,2.5,2.5,-7.5,15,-0.26005736,female
101,1,7,pic\r6,85,35,-5,7.5,-17.5,-7.5,0,0,15,-20,-20,-12.5,-15,0.780172079,female
101,1,8,pic\r5,87.5,32.5,-5,-10,-10,-12.5,0,0,12.5,-20,-20,-5,-2.5,0.953543653,female
101,1,9,pic\r16,60,32.5,-5,2.5,5,5,0,0,40,7.5,7.5,10,2.5,-0.953543653,female
101,1,10,pic\r7,82.5,30,-2.5,-7.5,-5,-7.5,0,0,17.5,-12.5,-12.5,-2.5,0,0.606800506,female
101,1,11,pic\r10,75,30,2.5,-15,-7.5,-10,0,0,25,-5,-5,-10,5,0.086685787,female
101,1,12,pic\r11,72.5,32.5,2.5,-15,-5,-12.5,0,0,27.5,-5,-5,-7.5,2.5,-0.086685787,female
101,1,13,pic\r3,92.5,35,10,15,-5,12.5,1,3,7.5,-27.5,-27.5,-15,-2.5,1.300286799,female
101,1,14,pic\r17,57.5,32.5,2.5,5,5,7.5,0,0,42.5,10,10,2.5,2.5,-1.126915226,female
101,1,15,pic\r13,67.5,35,7.5,7.5,-2.5,7.5,0,0,32.5,-2.5,-2.5,-10,0,-0.433428933,female
101,1,16,pic\r18,55,37.5,10,10,12.5,7.5,0,0,45,7.5,7.5,2.5,-2.5,-1.300286799,female
101,1,17,pic\r2,95,37.5,10,15,-12.5,17.5,1,28,5,-32.5,-32.5,-22.5,2.5,1.473658372,female
101,1,18,pic\r9,77.5,32.5,5,7.5,5,-10,0,0,22.5,-10,-10,0,-17.5,0.26005736,female
101,1,19,pic\r4,90,37.5,5,12.5,-5,5,0,0,10,-27.5,-27.5,-10,-7.5,1.126915226,female
101,1,20,pic\r15,62.5,37.5,2.5,5,5,2.5,0,0,37.5,0,0,2.5,-2.5,-0.780172079,female
101,1,21,pic\r16,60,35,10,5,12.5,7.5,0,0,12.5,-22.5,-22.5,2.5,2.5,-0.953543653,female
101,1,22,pic\r4,90,40,15,5,-12.5,15,1,25,10,-30,-30,-27.5,10,1.126915226,female
101,1,23,pic\r15,62.5,47.5,7.5,7.5,-10,5,0,0,37.5,-10,-10,-17.5,-2.5,-0.780172079,female
101,1,24,pic\r17,57.5,45,5,12.5,7.5,10,0,0,42.5,-2.5,-2.5,2.5,-2.5,-1.126915226,female
101,1,25,pic\r19,52.5,47.5,12.5,7.5,10,20,0,0,47.5,0,0,-2.5,12.5,-1.473658372,female
101,1,26,pic\r2,95,47.5,5,5,-12.5,5,1,29,5,-42.5,-42.5,-17.5,0,1.473658372,female
101,1,27,pic\r8,80,47.5,5,10,-5,5,1,12,20,-27.5,-27.5,-10,-5,0.433428933,female
101,1,28,pic\r9,77.5,47.5,2.5,5,2.5,5,1,8,22.5,-25,-25,0,0,0.26005736,female
101,1,29,pic\r11,72.5,42.5,5,10,5,5,0,0,27.5,-15,-15,0,-5,-0.086685787,female
101,1,30,pic\r13,67.5,47.5,2.5,5,2.5,5,0,0,32.5,-15,-15,0,0,-0.433428933,female
101,1,31,pic\r1,97.5,47.5,5,5,-15,12.5,1,18,2.5,-45,-45,-20,7.5,1.647029945,female
101,1,32,pic\r3,92.5,47.5,2.5,5,-15,15,1,26,7.5,-40,-40,-17.5,10,1.300286799,female
101,1,33,pic\r18,55,47.5,7.5,17.5,15,27.5,0,0,45,-2.5,-2.5,7.5,10,-1.300286799,female
101,1,34,pic\r14,65,47.5,5,15,10,12.5,0,0,35,-12.5,-12.5,5,-2.5,-0.606800506,female
101,1,35,pic\r7,82.5,47.5,10,17.5,-12.5,12.5,1,20,17.5,-30,-30,-22.5,-5,0.606800506,female
101,1,36,pic\r6,85,47.5,12.5,15,-7.5,7.5,1,3,15,-32.5,-32.5,-20,-7.5,0.780172079,female
101,1,37,pic\r5,87.5,47.5,7.5,10,-10,7.5,1,25,12.5,-35,-35,-17.5,-2.5,0.953543653,female
101,1,38,pic\r12,70,47.5,2.5,5,2.5,2.5,0,0,30,-17.5,-17.5,0,-2.5,-0.26005736,female
101,1,39,pic\r10,75,47.5,5,10,5,10,0,0,25,-22.5,-22.5,0,0,0.086685787,female
101,1,40,pic\r20,50,50,10,12.5,17.5,25,0,0,50,0,0,7.5,12.5,-1.647029945,female
103,3,1,pic\r2,95,50,15,30,-35,32.5,1,12,5,-45,-45,-50,2.5,1.473658372,male
103,3,2,pic\r19,52.5,50,27.5,27.5,17.5,15,0,0,47.5,-2.5,-2.5,-10,-12.5,-1.473658372,male
103,3,3,pic\r12,70,50,27.5,27.5,-12.5,7.5,0,0,30,-20,-20,-40,-20,-0.26005736,male
